comment,clean_comment,label,platform,timestamp
aku punya itu tapi punya kakak ku ,aku punya itu tapi punya kakak ku ,netral,Instagram,2026-03-21 01:58:03
"kelly itu yg dulu di pake mama aku, asli aku liat foto mama jaman dulu bening sehat segar pokoknya, padahal tinggal di desa, tapi ntah knp mama ganti krim wajah dan sekarang udah kerutan bgt, flek hitam di mana mana, pengen balik ke kelly lagi tapi ga mempan kaya dulu, kalo ga salah mama ganti ke krim king99 trus toner nya botol warna hijau bulet gitu, aku lupa apa namanya tapi kalo di pake berasa lagi alkoholan😭 asli sih awal doang bagus, ternyata gak boleh berenti pake itu jadi ketergantu gan, tapi mama paksa berenti karna capek gak bisa kena matahari dikit langsung merah kaya tomat",kelly itu yg dulu di pake mama aku asli aku liat foto mama jaman dulu bening sehat segar pokoknya padahal tinggal di desa tapi ntah knp mama ganti krim wajah dan sekarang udah kerutan bgt flek hitam di mana mana pengen balik ke kelly lagi tapi ga mempan kaya dulu kalo ga salah mama ganti ke krim king99 trus toner nya botol warna hijau bulet gitu aku lupa apa namanya tapi kalo di pake berasa lagi alkoholan asli sih awal doang bagus ternyata gak boleh berenti pake itu jadi ketergantu gan tapi mama paksa berenti karna capek gak bisa kena matahari dikit langsung merah kaya tomat,positif,TikTok,2026-04-07 12:29:03
"Barangnya cepat sampai, packing aman, produknya juara.","barangnya cepat sampai, packing aman, produknya juara.",positif,X (Twitter),2026-03-24 14:02:03
"Kecewa banget, baunya aneh dan bikin kulit gatal.","kecewa banget, baunya aneh dan bikin kulit gatal.",negatif,X (Twitter),2026-04-08 00:07:03
"Produknya bikin kulit panas, gak cocok sama sekali.","produknya bikin kulit panas, gak cocok sama sekali.",negatif,Instagram,2026-03-21 06:56:03
"Gak rekomen buat yang kulitnya berminyak, malah jadi jerawatan.","gak rekomen buat yang kulitnya berminyak, malah jadi jerawatan.",negatif,Instagram,2026-03-27 22:42:03
Maxie skinker d daerahku banyak yg pake njirr,maxie skinker d daerahku banyak yg pake njirr,netral,Instagram,2026-03-27 15:01:03
"Barangnya cepat sampai, packing aman, produknya juara.","barangnya cepat sampai, packing aman, produknya juara.",positif,Instagram,2026-03-22 18:30:03
"Kecewa banget, baunya aneh dan bikin kulit gatal.","kecewa banget, baunya aneh dan bikin kulit gatal.",negatif,TikTok,2026-04-04 21:00:03
"Kecewa banget, baunya aneh dan bikin kulit gatal.","kecewa banget, baunya aneh dan bikin kulit gatal.",negatif,X (Twitter),2026-03-28 17:03:03
Overclaim parah! Cuma menang di kemasan doang.,overclaim parah! cuma menang di kemasan doang.,negatif,Instagram,2026-04-07 15:42:03
Review Lskin dok,review lskin dok,netral,X (Twitter),2026-04-07 20:39:03
doktif tambah kurus ya,doktif tambah kurus ya,netral,TikTok,2026-04-12 12:38:03
"Kapok beli skincare ini, mending beli brand lain yang lebih jujur.","kapok beli skincare ini, mending beli brand lain yang lebih jujur.",negatif,Instagram,2026-03-28 17:32:03
"Efeknya langsung kerasa di pemakaian pertama, mantap!","efeknya langsung kerasa di pemakaian pertama, mantap!",positif,Instagram,2026-03-24 07:05:03
"mesi aku  pemen   kaka  mesi
mesi kaka salam  kenalan  dulu
aku hana","mesi aku  pemen   kaka  mesi
mesi kaka salam  kenalan  dulu
aku hana",netral,TikTok,2026-04-12 05:14:03
Asli ini bagus buat yang mau mencerahkan secara perlahan tapi pasti.,asli ini bagus buat yang mau mencerahkan secara perlahan tapi pasti.,positif,X (Twitter),2026-04-05 22:58:03
Overclaim parah! Cuma menang di kemasan doang.,overclaim parah! cuma menang di kemasan doang.,negatif,X (Twitter),2026-04-03 12:59:03
"Alhamdulillah cocok, mukaku jadi lebih cerah sekarang.","alhamdulillah cocok, mukaku jadi lebih cerah sekarang.",positif,TikTok,2026-04-18 04:34:03
pas nunjukin sheet maks gambarnya kepotong g kliatan,pas nunjukin sheet maks gambarnya kepotong g kliatan,netral,Instagram,2026-04-08 09:38:03
"Gak nyesel beli ini, harganya worth it banget sama kualitasnya.","gak nyesel beli ini, harganya worth it banget sama kualitasnya.",positif,X (Twitter),2026-04-06 13:39:03
"Suka banget sama hasilnya, beneran glowing!","suka banget sama hasilnya, beneran glowing!",positif,Instagram,2026-03-31 19:38:03
"Gak nyesel beli ini, harganya worth it banget sama kualitasnya.","gak nyesel beli ini, harganya worth it banget sama kualitasnya.",positif,TikTok,2026-03-20 19:59:03
Si Nenek Lampir ini emang tolol.,si nenek lampir ini emang tolol,netral,X (Twitter),2026-04-12 07:45:03
kak meissie juga cantik,kak meissie juga cantik,netral,TikTok,2026-04-15 23:14:03
"Bagus banget, udah botol ketiga tetap cinta.","bagus banget, udah botol ketiga tetap cinta.",positif,TikTok,2026-03-26 09:46:03
"Gak rekomen buat yang kulitnya berminyak, malah jadi jerawatan.","gak rekomen buat yang kulitnya berminyak, malah jadi jerawatan.",negatif,Instagram,2026-04-14 14:43:03
"Barangnya cepat sampai, packing aman, produknya juara.","barangnya cepat sampai, packing aman, produknya juara.",positif,TikTok,2026-03-30 03:37:03
"Gak rekomen buat yang kulitnya berminyak, malah jadi jerawatan.","gak rekomen buat yang kulitnya berminyak, malah jadi jerawatan.",negatif,Instagram,2026-04-07 19:00:03
"Kapok beli skincare ini, mending beli brand lain yang lebih jujur.","kapok beli skincare ini, mending beli brand lain yang lebih jujur.",negatif,X (Twitter),2026-03-21 19:26:03
ih lucu banget sih  eh maksud nya orang nya,ih lucu banget sih  eh maksud nya orang nya,positif,X (Twitter),2026-04-10 02:56:03
"Suka banget sama hasilnya, beneran glowing!","suka banget sama hasilnya, beneran glowing!",positif,X (Twitter),2026-03-20 13:40:03
kak meissie lucu banget,kak meissie lucu banget,positif,X (Twitter),2026-04-06 09:40:03
Asli ini bagus buat yang mau mencerahkan secara perlahan tapi pasti.,asli ini bagus buat yang mau mencerahkan secara perlahan tapi pasti.,positif,X (Twitter),2026-03-29 09:32:03
"Marketingnya aja yang kenceng, kualitasnya zonk.","marketingnya aja yang kenceng, kualitasnya zonk.",negatif,TikTok,2026-04-08 13:14:03
Saya akan terus komen sampai anda diam,saya akan terus komen sampai anda diam,netral,TikTok,2026-03-22 05:05:03
"Gak rekomen buat yang kulitnya berminyak, malah jadi jerawatan.","gak rekomen buat yang kulitnya berminyak, malah jadi jerawatan.",negatif,TikTok,2026-04-19 07:03:03
gak ada skin care pake slime kak,gak ada skin care pake slime kak,netral,X (Twitter),2026-03-23 13:44:03
"kalau mau yg lebih besar tapi gak bisa bikin yg lebih gede ya udah di gabungin aja yg kecil kecil yg banyak pokok nya lalu tinggal di gabungin dan akhirnya jadi gede kan seperti pepatah dikit dikit lama lama jadi bukit  gunung  membukit  menggunung 
tolong di koreksi ya kalo ada yg salah","kalau mau yg lebih besar tapi gak bisa bikin yg lebih gede ya udah di gabungin aja yg kecil kecil yg banyak pokok nya lalu tinggal di gabungin dan akhirnya jadi gede kan seperti pepatah dikit dikit lama lama jadi bukit  gunung  membukit  menggunung 
tolong di koreksi ya kalo ada yg salah",netral,Instagram,2026-04-09 21:08:03
"Bagus banget, udah botol ketiga tetap cinta.","bagus banget, udah botol ketiga tetap cinta.",positif,X (Twitter),2026-03-29 09:35:03
"Kapok beli skincare ini, mending beli brand lain yang lebih jujur.","kapok beli skincare ini, mending beli brand lain yang lebih jujur.",negatif,Instagram,2026-04-18 03:03:03
"Suka banget sama hasilnya, beneran glowing!","suka banget sama hasilnya, beneran glowing!",positif,TikTok,2026-03-24 20:51:03
Dari awal ga terlalu suka cara penyampaian doktif. Terlalu menyudutkan dr.richard 😅,dari awal ga terlalu suka cara penyampaian doktif terlalu menyudutkan drrichard ,netral,Instagram,2026-03-23 20:07:03
"Teksturnya ringan dan gampang meresap, suka!","teksturnya ringan dan gampang meresap, suka!",positif,Instagram,2026-04-11 14:52:03
Venora ada Mercurinya gak dok,venora ada mercurinya gak dok,netral,TikTok,2026-03-28 03:39:03
"Kecewa banget, baunya aneh dan bikin kulit gatal.","kecewa banget, baunya aneh dan bikin kulit gatal.",negatif,X (Twitter),2026-04-09 06:21:03
baru tau vit e bikin tambah komedo serius gk sih dok kalo boleh minta penjelasannya dong,baru tau vit e bikin tambah komedo serius gk sih dok kalo boleh minta penjelasannya dong,netral,TikTok,2026-04-18 02:34:03
"Produknya bikin kulit panas, gak cocok sama sekali.","produknya bikin kulit panas, gak cocok sama sekali.",negatif,X (Twitter),2026-03-23 06:16:03
"Alhamdulillah cocok, mukaku jadi lebih cerah sekarang.","alhamdulillah cocok, mukaku jadi lebih cerah sekarang.",positif,TikTok,2026-03-24 05:26:03
lebih banyak konten kayak begini ya dok sangat membantu banget ,lebih banyak konten kayak begini ya dok sangat membantu banget ,netral,X (Twitter),2026-04-15 06:36:03
"Alhamdulillah cocok, mukaku jadi lebih cerah sekarang.","alhamdulillah cocok, mukaku jadi lebih cerah sekarang.",positif,TikTok,2026-03-30 01:11:03
Overclaim parah! Cuma menang di kemasan doang.,overclaim parah! cuma menang di kemasan doang.,negatif,TikTok,2026-04-19 16:29:03
Produknya original dan cocok di kulit aku yang sensitif.,produknya original dan cocok di kulit aku yang sensitif.,positif,X (Twitter),2026-03-30 21:08:03
"Awalnya kupikir objektif, makin ke sini kok makin kelihatan personal ya serangannya. Males nyimak",awalnya kupikir objektif makin ke sini kok makin kelihatan personal ya serangannya males nyimak,netral,TikTok,2026-03-27 01:48:03
Bgo,bgo,netral,Instagram,2026-04-11 21:46:03
"Alhamdulillah cocok, mukaku jadi lebih cerah sekarang.","alhamdulillah cocok, mukaku jadi lebih cerah sekarang.",positif,Instagram,2026-04-16 09:27:03
"Suka banget sama hasilnya, beneran glowing!","suka banget sama hasilnya, beneran glowing!",positif,X (Twitter),2026-04-16 06:18:03
"Produknya bikin kulit panas, gak cocok sama sekali.","produknya bikin kulit panas, gak cocok sama sekali.",negatif,Instagram,2026-03-20 23:06:03
" @ratusejagadalamspreadlove  aku ga ada flek sih kak,jadi ga tau bs ngilangin flek atau ga", ratusejagadalamspreadlove  aku ga ada flek sih kakjadi ga tau bs ngilangin flek atau ga,positif,TikTok,2026-04-15 22:58:03
Katanya mencerahkan tapi udah sebulan gak ada perubahan sama sekali.,katanya mencerahkan tapi udah sebulan gak ada perubahan sama sekali.,negatif,Instagram,2026-04-08 10:50:03
"Teksturnya ringan dan gampang meresap, suka!","teksturnya ringan dan gampang meresap, suka!",positif,Instagram,2026-04-05 21:24:03
"Nyesel banget beli, katanya overclaim ya? Gak ngefek di aku.","nyesel banget beli, katanya overclaim ya? gak ngefek di aku.",negatif,X (Twitter),2026-03-27 07:31:03
"Suka banget sama hasilnya, beneran glowing!","suka banget sama hasilnya, beneran glowing!",positif,X (Twitter),2026-04-09 15:56:03
kak meissie bikin  slime dong  soalnya aku gak bisa  bikin  slimenya,kak meissie bikin  slime dong  soalnya aku gak bisa  bikin  slimenya,netral,TikTok,2026-04-19 15:27:03
"Nyesel banget beli, katanya overclaim ya? Gak ngefek di aku.","nyesel banget beli, katanya overclaim ya? gak ngefek di aku.",negatif,TikTok,2026-04-14 15:00:03
"Teksturnya ringan dan gampang meresap, suka!","teksturnya ringan dan gampang meresap, suka!",positif,X (Twitter),2026-04-17 10:16:03
​ @liesdayani9620 Kasihan Ketahuan Bobroknya ka, liesdayani9620 kasihan ketahuan bobroknya ka,netral,X (Twitter),2026-04-07 03:05:03
"Bagus banget, udah botol ketiga tetap cinta.","bagus banget, udah botol ketiga tetap cinta.",positif,Instagram,2026-04-11 10:36:03
"Kecewa banget, baunya aneh dan bikin kulit gatal.","kecewa banget, baunya aneh dan bikin kulit gatal.",negatif,TikTok,2026-03-28 02:38:03
Dok tolong review yg hn platinum nya,dok tolong review yg hn platinum nya,netral,TikTok,2026-04-01 18:11:03
"GAK ADA SALAHNYA EDUKASI SAMBIL PROMO PRODUK,KALAU PRODUKNYA SUDAH DICLAIM AMAN. UNTUK MEMBANTU KITA SEMUA MEMILIH YG BAIK DR PADA MILIH YG BERBAYAHA.",gak ada salahnya edukasi sambil promo produkkalau produknya sudah diclaim aman untuk membantu kita semua memilih yg baik dr pada milih yg berbayaha,netral,TikTok,2026-04-13 06:01:03
td kan udh d tunjukkin dokternyasabun acne yg ijo ituutk jerawat,td kan udh d tunjukkin dokternyasabun acne yg ijo ituutk jerawat,netral,X (Twitter),2026-03-26 03:28:03
"Jangan percaya iklan, ini cuma overclaim doang harganya mahal.","jangan percaya iklan, ini cuma overclaim doang harganya mahal.",negatif,TikTok,2026-04-03 12:27:03
